0:03:52.16,0:03:58.68	تَنْتُجُ عَن ذلِكَ طاقَةُ يَسْتَخدِمُها الإِنْسانُ في تَوليدِ الطّاقَةِ الكَهْرَبائِيَّةِ
0:03:58.68,0:04:00.96	لِخِدْمَة مَناطِقَ كَبيرةٍ
0:04:00.96,0:04:06.20	والطّاقَةُ التي تَنتُجُ عَنِ المِياهِ لا تُلَوِّثُ البيئَةَ
0:04:06.20,0:04:12.88	لكِنْ يَجِبُ عَلى النّاسِ بِناءُ سُدودٍ إِذا أرادوا الاسْتِفادَةَ مِنْ هذِهِ الطّاقَةِ
0:04:12.88,0:04:17.27	وهذِهِ السُّدودُ تَحْتاجُ إِلى كَثيرٍ مِنَ المالِ
0:04:17.27,0:04:22.21	لذا فإِنّ الطّاقَةَ التي تَنْتُجُ مِنَ الماءِ غالِيَةُ .
0:04:22.21,0:04:25.68	الطّاقَةُ الحَرارِيَّة :
0:04:25.68,0:04:31.94	تَنْتُجُ الطّاقَةُ الحَرارِيَّةُ مِنْ حَرْقِ الوَقودِ أو مِنَ الاحتِكاكِ بَينَ الأجسامِ
0:04:31.94,0:04:35.97	كَما توجَدُ في باطِنِ الأرْضِ حَرارَةُ
0:04:35.97,0:04:42.92	وهُناكَ بَعْضُ المُدُنِ تَستَمِدُّ حاجَتَها مِنَ الطّاقَةِ مِنْ الحَرارَةِ التي تأتي مِنَ الأرْضِ
0:04:42.92,0:04:47.09	فَمَدينةُ سان فرانسيسكو في أمريكا
0:04:47.09,0:04:55.01	تَستَمِدُّ نِصْفَ حاجَتِها مِنَ الطّاقَةِ مِنْ حَرارَة الأرْضِ هذا النوعُ مِنَ الطّاقَةِ رَخيصُ
0:04:55.01,0:05:00.09	لكِنَّهُ لا يوجَدُ إِلا في مَناطِقَ قَليلةٍ مِنَ العالَمِ .
0:05:00.09,0:05:07.66	الطّاقَةُ الحَرارِيَّةُ ضَرورِيَّةُ للطَّبخِ والتَّسخينِ والتَّدْفِئَةِ في المَنازِلِ
0:05:07.66,0:05:11.91	كما أنَّها أهَمُّ أشْكالِ الطّاقَةِ المستَخْدَمَةِ في المَصانِعِ
0:05:11.91,0:05:18.55	ومُعْظَمُ وَسائِلِ النَّقلِ مِنْ سَيّاراتٍ وشاحِناتٍ وقاطِراتٍ وطائِراتٍ
0:05:18.55,0:05:23.40	تَعتَمِدُ عَلى المُحَرِّكاتِ التي تَسْتَخْدِمُ الطّاقَةَ الحَرارِيَّةَ
0:05:23.40,0:05:28.15	وهذِهِ المُحَرِّكاتُ ثَلاثَةُ أنواعٍ :
0:05:28.15,0:05:32.52	بُخارِيَّة وانْفِجارِيَّة ونَفّاثَة
0:05:32.52,0:05:38.80	وقَد اخْتُرِعَتِ المُحَرِّكاتِ البُخارِيَّةُ أوَّلاً مُنذُ أمَدٍ طَويلٍ
0:05:38.80,0:05:44.73	وهي تَعْمَلُ بِقُوَّةِ الدَّفْعِ الموجودَةِ في بُخارِ الماءِ السّاخِنِ جِدّاً
0:05:44.73,0:05:53.44	والمُحَرِّكاتُ النَّفاثَةُ تُمَكِّنُ الطائِراتِ الكبيرَةَ مِنَ السَّفَرِ مَسافاتٍ طَويلَةً بِسُرْعَةٍ عالِيَةٍ
0:05:53.44,0:05:59.49	وهي تَعْمَلُ أيضاً عِنْدَ السُّرْعَةِ المُنْخَفِضَةِ بِصورَةٍ مَقبولَةٍ .
	
